0.119,0.027,1.013,-0.671,3.082,0.198,261906
0.116,0.031,0.985,-0.359,0.946,0.168,261916
0.114,0.032,1.009,0.999,-3.815,0.191,261926
0.128,0.023,1.017,-0.526,1.640,0.031,261937
0.120,0.026,0.991,-0.458,2.144,0.198,261947
0.108,0.036,1.001,0.862,-3.220,0.290,261957
0.114,0.033,1.018,0.000,0.504,0.221,261967
0.125,0.030,0.993,-0.839,2.586,0.137,261976
0.116,0.040,1.002,0.755,-3.281,0.191,261986
0.117,0.030,1.023,0.084,-0.443,0.130,261996
0.125,0.023,0.994,-1.106,3.746,0.084,262006
0.110,0.029,0.990,0.618,-2.274,0.244,262017
0.109,0.030,1.025,0.572,-2.274,0.175,262027
0.120,0.027,1.008,-0.809,3.777,0.259,262037
0.115,0.036,0.985,0.099,-0.679,0.237,262047
0.131,0.029,1.013,-0.809,2.922,0.015,262057
0.131,0.029,1.013,-0.809,2.922,0.015,262066
0.119,0.034,0.988,-0.259,0.992,0.221,262076
0.108,0.032,1.010,0.893,-3.456,0.206,262086
0.121,0.024,1.015,-0.565,1.869,0.076,262096
0.121,0.026,0.989,-0.443,1.656,0.229,262107
0.109,0.036,1.010,0.908,-3.769,0.221,262117
0.125,0.028,0.990,-0.786,2.953,0.137,262127
0.112,0.037,0.999,0.771,-3.426,0.153,262137
0.112,0.037,0.999,0.771,-3.426,0.153,262146
0.119,0.032,1.023,0.137,-0.725,0.153,262156
0.116,0.026,0.996,-0.999,3.960,0.229,262166
0.110,0.034,0.990,0.504,-2.258,0.267,262176
0.119,0.031,1.020,0.511,-2.510,0.130,262187
0.116,0.032,0.988,0.038,-0.450,0.237,262197
0.109,0.032,1.016,0.839,-2.930,0.259,262207
0.117,0.025,1.012,-0.748,2.838,0.137,262217
0.123,0.032,0.987,-0.237,0.587,0.221,262227
0.123,0.032,0.987,-0.237,0.587,0.221,262236
0.115,0.036,1.015,0.961,-3.937,0.160,262246
0.125,0.028,1.019,-0.488,1.945,0.114,262256
0.110,0.034,1.005,0.977,-3.845,0.160,262266
0.120,0.028,1.027,0.061,0.122,0.122,262277
0.116,0.027,0.994,-0.900,3.685,0.206,262287
0.109,0.038,0.995,0.809,-2.968,0.267,262297
0.122,0.033,1.023,0.404,-1.793,0.061,262307
0.122,0.033,1.023,0.404,-1.793,0.061,262316
0.127,0.028,1.003,-0.999,3.761,0.084,262326
0.117,0.034,1.016,0.656,-2.510,0.275,262336
0.114,0.023,1.011,-0.816,3.136,0.130,262346
0.114,0.030,0.988,-0.206,0.053,0.252,262356
0.114,0.039,1.013,0.938,-3.517,0.244,262367
0.119,0.029,1.015,-0.610,2.373,0.191,262377
0.128,0.030,0.985,-0.580,1.656,0.175,262387
0.118,0.036,1.007,0.938,-4.044,0.099,262397
0.117,0.029,1.026,-0.229,0.870,0.084,262406
0.114,0.022,0.991,-0.923,3.548,0.191,262416
0.109,0.032,0.992,0.847,-3.220,0.214,262426
0.121,0.029,1.026,0.488,-1.633,0.099,262436
0.131,0.025,1.001,-0.908,3.593,0.137,262447
0.110,0.034,0.993,0.473,-1.350,0.290,262457
0.116,0.038,1.017,0.687,-2.266,0.267,262467
0.118,0.029,1.007,-0.771,3.151,0.114,262477
0.119,0.033,0.990,-0.137,-0.175,0.206,262486
0.122,0.040,1.016,0.877,-3.548,0.168,262496
0.119,0.026,1.014,-0.671,2.609,0.206,262506
0.119,0.024,0.986,-0.633,1.686,0.137,262516
0.117,0.031,1.008,0.893,-3.967,0.168,262526
0.120,0.025,1.024,-0.168,0.717,0.114,262537
0.116,0.022,0.993,-0.832,3.448,0.191,262547
0.115,0.036,0.992,0.839,-3.021,0.275,262557
0.116,0.034,1.025,0.465,-1.694,0.168,262567
0.123,0.029,1.005,-0.908,3.555,0.084,262576
0.120,0.037,0.991,0.214,-1.106,0.175,262586
0.117,0.037,1.016,0.641,-2.502,0.145,262596
0.116,0.022,1.011,-0.755,2.983,0.122,262606
0.114,0.026,0.988,-0.168,0.404,0.221,262617
0.114,0.038,1.013,0.984,-3.502,0.275,262627
0.117,0.030,1.016,-0.504,1.999,0.160,262637
0.126,0.029,0.986,-0.603,1.854,0.191,262647
0.120,0.039,1.006,0.854,-3.799,0.130,262656
0.120,0.032,1.026,-0.069,0.305,0.107,262666
0.113,0.023,0.993,-0.992,3.777,0.183,262676
0.109,0.031,0.992,0.626,-2.571,0.298,262686
0.116,0.031,1.022,0.534,-2.136,0.168,262696
0.125,0.026,1.007,-0.778,3.258,0.153,262707
0.116,0.034,0.992,0.191,-0.572,0.237,262717
0.119,0.037,1.014,0.809,-2.762,0.229,262727
0.117,0.026,1.013,-0.641,2.602,0.099,262737
0.121,0.027,0.988,-0.351,0.854,0.137,262746
0.117,0.036,1.011,0.938,-3.647,0.252,262756
0.112,0.027,1.021,-0.298,1.518,0.160,262766
0.120,0.025,0.988,-0.763,2.457,0.137,262776
0.118,0.038,1.000,0.893,-3.632,0.183,262787
0.120,0.034,1.028,0.160,-0.641,0.168,262797
0.122,0.025,0.997,-1.060,3.860,0.092,262807
0.112,0.033,0.990,0.473,-1.984,0.237,262817
0.113,0.031,1.022,0.565,-2.449,0.130,262828
0.124,0.022,1.008,-0.885,3.372,0.084,262836
0.114,0.028,0.989,0.069,-0.145,0.298,262846
0.119,0.036,1.014,0.946,-3.334,0.267,262856
0.120,0.028,1.014,-0.587,2.449,0.206,262866
0.121,0.031,0.988,-0.465,1.312,0.145,262877
0.114,0.041,1.011,0.969,-3.761,0.214,262887
0.116,0.032,1.019,-0.336,1.366,0.130,262897
0.126,0.027,0.988,-0.916,2.747,0.069,262907
0.117,0.034,0.999,0.809,-3.586,0.191,262916
0.117,0.028,1.027,0.214,-0.710,0.153,262926
0.114,0.022,1.000,-1.007,4.005,0.214,262936
0.112,0.031,0.989,0.557,-1.907,0.214,262946
0.118,0.032,1.022,0.732,-2.708,0.175,262957
0.127,0.027,1.010,-0.801,3.342,0.145,262967
0.116,0.036,0.988,0.031,-0.046,0.267,262977
0.112,0.038,1.015,0.885,-3.204,0.282,262987
0.117,0.028,1.015,-0.771,2.548,0.092,262998
0.124,0.030,0.988,-0.458,1.053,0.145,263006
0.115,0.037,1.012,0.931,-3.830,0.221,263016
0.116,0.027,1.020,-0.435,1.671,0.183,263026
0.122,0.023,0.987,-0.824,2.602,0.130,263036
0.113,0.033,1.002,0.900,-3.914,0.198,263047
0.121,0.031,1.028,0.191,-0.397,0.160,263057
0.118,0.026,0.997,-0.992,3.990,0.198,263067
0.110,0.034,0.989,0.687,-2.510,0.237,263077
0.112,0.034,1.025,0.633,-2.319,0.137,263086
0.128,0.031,1.006,-1.038,3.723,0.038,263096
0.117,0.036,0.989,0.122,-0.694,0.229,263106
0.114,0.034,1.017,0.793,-3.075,0.244,263116
0.121,0.024,1.013,-0.801,3.044,0.114,263127
