0.007,1.011,0.038,-0.160,0.160,3326339
-0.017,-0.007,1.012,0.076,-0.160,0.198,3327000
-0.017,-0.007,1.011,0.092,-0.175,0.214,3327006
-0.018,-0.007,1.011,0.076,-0.168,0.183,3327012
-0.018,-0.007,1.011,0.076,-0.168,0.183,3327019
-0.016,-0.008,1.011,0.122,-0.160,0.206,3327025
-0.016,-0.007,1.011,0.084,-0.175,0.206,3327031
-0.016,-0.007,1.011,0.084,-0.175,0.206,3327037
-0.016,-0.007,1.012,0.053,-0.175,0.229,3327043
-0.016,-0.007,1.012,0.053,-0.175,0.229,3327051
-0.017,-0.007,1.013,0.114,-0.198,0.183,3327057
-0.017,-0.007,1.012,0.076,-0.122,0.137,3327064
-0.017,-0.007,1.012,0.076,-0.122,0.137,3327070
-0.017,-0.006,1.011,0.107,-0.175,0.160,3327076
-0.019,-0.006,1.011,0.084,-0.229,0.145,3327082
-0.019,-0.006,1.011,0.084,-0.229,0.145,3327088
-0.019,-0.006,1.011,0.099,-0.153,0.137,3327096
-0.017,-0.007,1.012,0.015,-0.153,0.206,3327102
-0.017,-0.007,1.012,0.015,-0.153,0.206,3327109
-0.016,-0.007,1.012,0.069,-0.145,0.206,3327115
-0.016,-0.007,1.010,0.092,-0.168,0.130,3327121
-0.016,-0.007,1.010,0.092,-0.168,0.130,3327127
-0.016,-0.008,1.011,0.092,-0.137,0.198,3327133
-0.016,-0.008,1.012,0.107,-0.168,0.198,3327139
-0.016,-0.008,1.012,0.107,-0.168,0.198,3327148
-0.016,-0.007,1.012,0.145,-0.107,0.183,3327154
-0.016,-0.007,1.012,0.145,-0.107,0.183,3327160
-0.017,-0.007,1.012,0.084,-0.183,0.183,3327166
-0.018,-0.006,1.012,0.099,-0.137,0.237,3327172
-0.018,-0.006,1.012,0.099,-0.137,0.237,3327178
-0.019,-0.006,1.012,0.130,-0.137,0.175,3327184
-0.019,-0.007,1.011,0.130,-0.168,0.183,3327193
-0.019,-0.007,1.011,0.130,-0.168,0.183,3327199
-0.019,-0.006,1.011,0.084,-0.145,0.191,3327205
-0.017,-0.007,1.012,0.084,-0.183,0.198,3327211
-0.017,-0.007,1.012,0.084,-0.183,0.198,3327217
-0.017,-0.009,1.012,0.046,-0.153,0.160,3327223
-0.016,-0.009,1.012,0.069,-0.160,0.160,3327229
-0.016,-0.009,1.012,0.069,-0.160,0.160,3327236
-0.016,-0.009,1.012,0.114,-0.130,0.198,3327244
-0.016,-0.009,1.012,0.114,-0.130,0.198,3327250
-0.016,-0.008,1.012,0.069,-0.114,0.175,3327256
-0.017,-0.005,1.012,0.099,-0.168,0.198,3327262
-0.017,-0.005,1.012,0.099,-0.168,0.198,3327268
-0.017,-0.006,1.013,0.137,-0.191,0.183,3327275
-0.017,-0.005,1.011,0.084,-0.153,0.198,3327281
-0.017,-0.005,1.011,0.084,-0.153,0.198,3327289
-0.017,-0.007,1.011,0.084,-0.153,0.160,3327295
-0.018,-0.007,1.011,0.092,-0.175,0.153,3327301
-0.018,-0.007,1.011,0.092,-0.175,0.153,3327307
-0.018,-0.008,1.011,0.114,-0.206,0.160,3327313
-0.017,-0.008,1.011,0.092,-0.145,0.175,3327320
-0.017,-0.008,1.011,0.092,-0.145,0.175,3327326
-0.016,-0.008,1.012,0.107,-0.145,0.183,3327334
-0.016,-0.007,1.011,0.114,-0.130,0.175,3327340
-0.016,-0.007,1.011,0.114,-0.130,0.175,3327346
-0.016,-0.007,1.011,0.076,-0.168,0.229,3327352
-0.016,-0.007,1.011,0.076,-0.168,0.229,3327358
-0.016,-0.006,1.011,0.084,-0.137,0.175,3327365
-0.017,-0.007,1.011,0.092,-0.153,0.214,3327371
-0.017,-0.007,1.011,0.092,-0.153,0.214,3327377
-0.018,-0.007,1.012,0.107,-0.145,0.237,3327385
-0.018,-0.007,1.012,0.107,-0.137,0.168,3327391
-0.018,-0.007,1.012,0.107,-0.137,0.168,3327397
-0.019,-0.008,1.010,0.069,-0.145,0.237,3327404
-0.018,-0.007,1.010,0.160,-0.175,0.191,3327410
-0.018,-0.007,1.010,0.160,-0.175,0.191,3327416
-0.017,-0.008,1.012,0.069,-0.175,0.183,3327422
-0.017,-0.007,1.010,0.061,-0.175,0.183,3327430
-0.017,-0.007,1.010,0.061,-0.175,0.183,3327436
-0.015,-0.007,1.011,0.145,-0.168,0.175,3327442
-0.015,-0.007,1.011,0.145,-0.168,0.175,3327449
-0.015,-0.007,1.011,0.107,-0.130,0.153,3327455
-0.016,-0.006,1.012,0.084,-0.206,0.259,3327461
-0.016,-0.006,1.012,0.084,-0.206,0.259,3327467
-0.017,-0.006,1.012,0.175,-0.153,0.198,3327475
-0.018,-0.006,1.011,0.061,-0.145,0.206,3327481
-0.018,-0.006,1.011,0.061,-0.145,0.206,3327488
-0.019,-0.006,1.011,0.092,-0.160,0.214,3327494
-0.019,-0.008,1.011,0.114,-0.168,0.183,3327500
-0.019,-0.008,1.011,0.114,-0.168,0.183,3327506
-0.018,-0.009,1.012,0.023,-0.160,0.191,3327512
-0.017,-0.009,1.012,0.092,-0.191,0.214,3327518
-0.017,-0.009,1.012,0.092,-0.191,0.214,3327526
-0.016,-0.008,1.011,0.084,-0.145,0.160,3327533
-0.016,-0.006,1.012,0.107,-0.137,0.214,3327539
-0.016,-0.006,1.012,0.107,-0.137,0.214,3327545
-0.016,-0.004,1.011,0.099,-0.183,0.206,3327551
-0.016,-0.004,1.011,0.099,-0.183,0.206,3327557
-0.016,-0.005,1.010,0.092,-0.137,0.153,3327563
-0.016,-0.004,1.011,0.053,-0.153,0.160,3327571
-0.016,-0.004,1.011,0.053,-0.153,0.160,3327578
-0.017,-0.007,1.011,0.092,-0.137,0.175,3327584
-0.017,-0.007,1.011,0.076,-0.168,0.206,3327590
-0.017,-0.007,1.011,0.076,-0.168,0.206,3327596
-0.018,-0.009,1.011,0.069,-0.137,0.221,3327602
-0.018,-0.009,1.011,0.076,-0.137,0.191,3327608
-0.018,-0.009,1.011,0.076,-0.137,0.191,3327614
-0.019,-0.008,1.011,0.114,-0.153,0.175,3327623
-0.018,-0.007,1.011,0.114,-0.130,0.198,3327629
-0.018,-0.007,1.011,0.114,-0.130,0.198,3327635
-0.016,-0.007,1.010,0.107,-0.130,0.175,3327641
-0.016,-0.007,1.010,0.107,-0.130,0.175,3327647
-0.014,-0.008,1.012,0.046,-0.183,0.206,3327653
-0.014,-0.005,1.012,0.122,-0.175,0.145,3327660
-0.014,-0.005,1.012,0.122,-0.175,0.145,3327668
-0.015,-0.005,1.012,0.099,-0.183,0.229,3327674
-0.017,-0.005,1.011,0.069,-0.153,0.198,3327680
-0.017,-0.005,1.011,0.069,-0.153,0.198,3327686
-0.019,-0.006,1.011,0.076,-0.175,0.191,3327692
-0.019,-0.010,1.011,0.061,-0.183,0.168,3327698
-0.019,-0.010,1.011,0.061,-0.183,0.168,3327705
-0.020,-0.012,1.011,0.038,-0.160,0.229,3327713
-0.019,-0.013,1.012,0.084,-0.153,0.237,3327719
-0.019,-0.013,1.012,0.084,-0.153,0.237,3327725
-0.018,-0.010,1.012,0.069,-0.160,0.282,3327731
-0.016,-0.007,1.011,0.153,-0.130,0.214,3327737
-0.016,-0.007,1.011,0.153,-0.130,0.214,3327744
-0.015,-0.003,1.011,0.130,-0.183,0.221,3327750
-0.015,-0.003,1.011,0.130,-0.183,0.221,3327756
-0.015,-0.003,1.012,0.099,-0.160,0.175,3327764
-0.015,-0.004,1.012,0.069,-0.160,0.153,3327770
-0.015,-0.004,1.012,0.069,-0.160,0.153,3327776
-0.016,-0.006,1.012,0.061,-0.198,0.175,3327782
-0.017,-0.009,1.011,0.061,-0.122,0.214,3327789
-0.017,-0.009,1.011,0.061,-0.122,0.214,3327795
-0.019,-0.009,1.011,0.061,-0.122,0.214,3327801
-0.021,-0.009,1.012,0.099,-0.145,0.221,3327809
-0.021,-0.009,1.012,0.099,-0.145,0.221,3327815
-0.020,-0.007,1.010,0.122,-0.160,0.153,3327821
-0.018,-0.007,1.013,0.084,-0.168,0.122,3327827
-0.018,-0.007,1.013,0.084,-0.168,0.122,3327834
-0.015,-0.007,1.011,0.084,-0.114,0.183,3327840
-0.016,-0.007,1.012,0.107,-0.130,0.183,3327846
-0.016,-0.007,1.012,0.107,-0.130,0.183,3327854
-0.015,-0.006,1.013,0.137,-0.168,0.214,3327860
-0.015,-0.006,1.013,0.137,-0.168,0.214,3327866
-0.017,-0.006,1.011,0.092,-0.168,0.198,3327873
-0.018,-0.006,1.012,0.145,-0.130,0.183,3327879
-0.018,-0.006,1.012,0.145,-0.130,0.183,3327885
-0.019,-0.008,1.011,0.069,-0.183,0.183,3327891
-0.021,-0.008,1.012,0.076,-0.084,0.175,3327899
-0.021,-0.008,1.012,0.076,-0.084,0.175,3327905
-0.019,-0.010,1.011,0.008,-0.237,0.175,3327911
-0.017,-0.011,1.012,0.153,-0.107,0.198,3327918
-0.017,-0.011,1.012,0.153,-0.107,0.198,3327924
-0.016,-0.008,1.012,0.099,-0.198,0.183,3327930
-0.015,-0.005,1.011,0.099,-0.122,0.214,3327936
-0.015,-0.005,1.011,0.099,-0.122,0.214,3327942
-0.016,-0.004,1.013,0.130,-0.153,0.168,3327950
-0.016,-0.004,1.013,0.130,-0.153,0.168,3327956
-0.017,-0.002,1.011,0.114,-0.153,0.183,3327963
-0.017,-0.005,1.012,0.008,-0.130,0.175,3327969
-0.017,-0.005,1.012,0.008,-0.130,0.175,3327975
-0.016,-0.008,1.012,0.122,-0.145,0.153,3327981
-0.018,-0.010,1.012,0.084,-0.153,0.183,3327987
-0.018,-0.010,1.012,0.084,-0.153,0.183,3327995
-0.017,-0.009,1.012,0.114,-0.214,0.206,3328002
-0.019,-0.007,1.012,0.084,-0.061,0.198,3328008
-0.019,-0.007,1.012,0.084,-0.061,0.198,3328014
